species,1_crossbands,2_midlat_spot,3_lat_spots_gen,4_cheek_stripe,5_dorsal_spot,6_intraorb_stripe,7_infraorb_band,8_long_band_frm,9_long_bnd_ext,10_postoc_spot,11_lat_spet_spec,12_chest_spot,13_anal_strk,14_lwr_lip,15_chin_spt,16_abdm_bnds,17_abd_strks,18_abd_spts,19_abd_strps,20_anal_spt,21_pect_spt,22_caudal_spt,23_caudped_spt,24_snout_strp,25_u_lip_strp,26_ant_dors_male,27_ant_dors_fem,28_blue_ulip_spt,29_brood_band,30_brd_latspot,31_brd_caudspot,32_brd_dorsspot,33_brd_cheekstr,34_sex_size,35_sex_polymorph,36_caudal_frm,37_dorsal_frm,38_mouth,39_jaw,40_lip,41_lip_colou,42_headbody_prop,43_caudal_pattrn,44_caudal_edge,45_bodyform,46_crosssection,47_jaw_dent,5-_dent_pores,51_infraorb_pores
acrensis,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1
agassizii,3,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,1,2,3,0,0,2,0,0,0,2,1,1,1,0,0,0
alacrina,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,1,1
arua,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,2,2,1,0,1,1,0,0,1,0,0,1,0,0,1
atahualpa,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,2,0,1,0,0,1,2,0,1,0,2,1,0,1,0,0,0,1,0,0,1
baenschi,1,1,1,0,0,0,0,2,0,1,2,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,2,1,1,0,1,1,2,0,1,0,2,1,0,1,0,2,0,1,1,0,1
bitaeniata,3,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,2,2,1,0,1,1,0,0,1,1,1,1,0,0,0
borellii,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1
brevis,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,2,2,1,0,2,1,0,0,1,0,0,1,0,1,0
cacatuoides,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,2,2,1,0,2,1,1,1,1,1,0,1,0,0,1
caeti,1,1,0,0,0,0,0,2,0,1,2,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1
