species,creek,riverine,generalized,rocky,clearwater,blackwater,whitewater,shaded,open,Amazon,Orinoco,Paraguay,Other_Basin
acrensis,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no
agassizii,yes,occaisional,yes,no,occaisional,yes,occaisional,yes,no,yes,no,no,no
alacrina,yes,occaisional,yes,no,yes,occaisional,occaisional,yes,occaisional,yes,yes,no,no
arua,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no
atahualpa,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no
baenschi,yes,no,yes,no,no,yes,occaisional,yes,no,yes,no,no,no
bitaeniata,yes,occaisional,no,no,no,yes,no,yes,no,yes,no,no,no
borellii,yes,occaisional,yes,no,occaisional,no,yes,yes,yes,no,no,yes,no
brevis,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no
cacatuoides,yes,occaisional,yes,no,no,no,yes,yes,occaisional,yes,no,no,no
caeti,yes,occaisional,yes,no,yes,occaisional,yes,yes,no,yes,no,no,no
commbrae,yes,occaisional,yes,no,yes,no,yes,yes,no,no,no,yes,no
cruzi,yes,occaisional,yes,no,yes,yes,yes,yes,no,yes,no,no,no
diplotaenia,occaisional,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no
elizabethae,yes,occaisional,yes,occaisional,occaisional,yes,no,yes,no,yes,no,no,no
eremnopyge,yes,no,occaisional,no,yes,occaisional,no,yes,no,yes,no,no,no
eunotus,yes,occaisional,yes,no,occaisional,occaisional,yes,yes,no,yes,no,no,no
geisleri,yes,occaisional,yes,no,occaisional,no,yes,yes,no,yes,no,no,no
gephyra,yes,no,no,no,occaisional,yes,no,yes,no,yes,no,no,no
gibbiceps,yes,no,no,no,yes,occaisional,no,yes,no,yes,no,no,no
gossei,yes,occaisional,occaisional,no,yes,occaisional,occaisional,yes,occaisional,no,no,no,yes
guttata,yes,occaisional,yes,no,yes,yes,no,yes,no,yes,no,no,no
hippolytae,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
hoignei,yes,occaisional,yes,no,no,no,yes,yes,no,yes,no,no,no
hongsloi,yes,occaisional,yes,no,yes,occaisional,occaisional,yes,no,yes,no,no,no
inconspicua,yes,occaisional,yes,no,occaisional,no,yes,yes,no,no,no,yes,no
iniridae,yes,occaisional,yes,occaisional,occaisional,yes,no,yes,occaisional,yes,no,no,no
inornata,yes,occaisional,yes,no,no,no,yes,yes,no,yes,no,no,no
juruensis,yes,no,yes,no,occaisional,yes,no,yes,no,yes,no,no,no
linkei,yes,no,yes,no,no,no,yes,yes,occaisional,yes,no,no,no
leulingi,yes,no,yes,no,yes,occaisional,no,yes,no,yes,no,no,no
maciliensis,yes,occaisional,yes,no,yes,no,yes,yes,occaisional,yes,no,no,no
macmasteri,yes,occaisional,yes,no,yes,occaisional,occaisional,yes,occaisional,no,yes,no,no
martini,yes,no,yes,no,yes,occaisional,no,yes,no,yes,no,no,no
meinkeni,yes,yes,no,no,occaisional,yes,no,yes,occaisional,yes,no,no,no
mendezi,yes,no,yes,no,occaisional,yes,no,yes,no,yes,no,no,no
moae,yes,no,yes,no,occaisional,yes,no,yes,no,yes,no,no,no
nijsseni,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
norberti,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
ortmanni,yes,no,yes,no,occaisional,yes,no,yes,occaisional,no,no,no,yes
panduro,yes,no,yes,no,occaisional,occaisional,yes,yes,no,yes,no,no,no
paucisquamis,yes,no,yes,no,occaisional,yes,no,yes,no,yes,no,no,no
payaminonis,yes,occaisional,yes,occaisional,yes,occaisional,no,yes,no,yes,no,no,no
personata,yes,no,yes,no,occaisional,yes,no,yes,no,yes,no,no,no
pertensis,yes,yes,yes,no,yes,yes,occaisional,yes,occaisional,yes,no,no,no
piauiensis,yes,occaisional,yes,no,no,no,yes,yes,no,yes,no,no,no
pulchra,yes,occaisional,yes,no,yes,occaisional,no,yes,no,yes,no,no,no
regani,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no
resticulosa,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no
rubrolineata,yes,yes,yes,no,no,yes,occaisional,yes,no,yes,no,no,no
rupunini,yes,occaisional,yes,no,yes,occaisional,no,yes,occaisional,yes,no,no,yes
similis,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no
staecki,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,no
steindachneri,yes,occaisional,yes,no,no,occaisional,yes,yes,occaisional,no,yes,no,yes
taeniata,yes,occaisional,occaisional,no,yes,occaisional,occaisional,yes,no,yes,no,no,no
trifasciata,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no
tucurui,yes,yes,no,no,yes,no,no,yes,occaisional,yes,no,no,no
uaupesi,occaisional,yes,no,yes,occaisional,yes,no,yes,yes,yes,yes,no,no
urtegai,yes,no,occaisional,no,yes,no,yes,yes,no,yes,no,no,no
velifera,yes,yes,no,occaisional,yes,occaisional,no,yes,occaisional,no,yes,no,no
viejita,yes,yes,yes,no,yes,occaisional,no,yes,yes,no,yes,no,no
wapisana,yes,occaisional,occaisional,no,occaisional,no,yes,yes,occaisional,yes,no,no,no
sp_Blauspiegel,yes,no,occaisional,no,occaisional,yes,no,yes,no,yes,no,no,no
sp_Breitbinden,yes,no,yes,no,yes,yes,no,yes,occaisional,yes,yes,no,no
sp_Brustband,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no
wolli,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,no
sp_Chao,yes,yes,no,no,yes,no,no,yes,occaisional,yes,no,no,no
sp_Gabelband,yes,no,no,no,yes,occaisional,no,yes,no,yes,no,no,no
sp_Gelbwangen,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,no
rositae,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no
paulmuelleri,yes,no,yes,no,occaisional,yes,no,yes,no,yes,no,no,no
barlowi,yes,occaisional,no,no,yes,yes,yes,yes,no,yes,no,no,no
sp_Mitu,yes,no,occaisional,no,occaisional,yes,no,yes,no,yes,no,no,no
sp_Miua,yes,no,occaisional,no,occaisional,yes,no,yes,no,yes,no,no,no
